Date,Open,High,Low,Close,Volume,Adj Close
2009-10-15,555.20,559.974,554.90,555.60,37485500,396.726
2009-10-14,552.20,563.90,551.00,559.00,41229600,399.153
2009-10-13,553.20,554.566,546.80,546.80,28562600,390.442
2009-10-12,549.00,554.20,546.30,552.20,31573700,394.298
2009-10-09,543.50,549.70,538.40,542.50,35571400,387.372
2009-10-08,547.10,548.90,537.60,545.50,28813700,389.514
2009-10-07,548.60,548.60,539.20,540.60,33142000,386.015
2009-10-06,537.10,553.10,535.00,550.20,38701000,392.87
2009-10-05,531.80,535.20,527.973,535.20,35712200,382.159
2009-10-02,539.50,542.80,530.00,535.30,31203100,382.23
2009-10-01,551.00,557.40,540.70,541.00,34506700,386.301
2009-09-30,560.50,560.50,548.10,553.00,28339000,394.869
2009-09-29,562.70,562.70,553.80,558.90,19098200,399.082
2009-09-28,551.20,559.60,546.10,559.00,24195400,399.153
2009-09-25,550.00,557.00,548.10,548.80,31877800,391.87
2009-09-24,551.20,560.90,546.00,546.30,32255100,390.085
2009-09-23,561.90,565.30,551.00,552.80,22602800,394.726
2009-09-22,560.00,568.50,558.00,561.10,21734000,400.653
2009-09-21,560.00,560.10,552.70,557.00,18874700,397.725
2009-09-18,554.75,559.15,552.00,555.00,56406700,396.297
2009-09-17,550.60,556.75,549.00,556.30,33111400,397.225
2009-09-16,547.50,548.85,540.15,547.35,37238600,390.835
2009-09-15,541.65,547.50,536.90,543.50,29292600,388.086
2009-09-14,538.75,544.168,533.10,543.00,24759100,387.729
2009-09-11,551.15,552.60,543.45,543.45,32019700,388.05
2009-09-10,559.30,559.75,542.75,547.40,26803400,390.87
2009-09-09,545.30,554.05,540.818,554.05,33797100,395.619
2009-09-08,540.00,544.412,538.40,543.00,35235900,387.729
2009-09-07,539.85,541.232,533.30,540.00,20128500,385.586
2009-09-04,541.00,541.00,531.75,536.90,28243700,383.373
2009-09-03,544.00,547.02,531.049,536.45,39512400,383.052
2009-09-02,519.60,541.819,253.295,541.65,79651000,386.765
2009-09-01,527.70,534.24,519.50,519.50,38886800,370.948
2009-08-31,532.00,532.00,532.00,532.00,000,379.874
2009-08-28,532.20,535.35,526.50,532.00,35984900,379.874
2009-08-27,526.00,530.70,522.04,525.70,28102500,375.376
2009-08-26,529.10,530.85,525.35,527.55,24122000,376.697
2009-08-25,525.50,533.05,521.15,533.00,29870100,380.588
2009-08-24,529.00,535.03,511.27,528.45,28864500,377.339
2009-08-21,515.30,530.88,514.60,527.80,57183300,376.875
2009-08-20,517.00,520.45,514.30,517.00,40526300,369.163
2009-08-19,501.60,512.00,499.00,509.65,33468200,363.915
2009-08-18,503.95,506.15,499.00,502.90,22897300,359.095
2009-08-17,504.40,504.75,493.50,500.60,6561900,357.453
2009-08-14,508.25,521.053,505.00,505.50,25670400,360.952
2009-08-13,509.95,515.803,503.60,505.70,24948200,361.095
2009-08-12,505.35,516.85,503.30,507.30,34141000,362.237
2009-08-11,514.50,588.33,506.442,512.00,25024000,359.517
2009-08-10,508.70,519.54,502.95,515.00,25724400,361.623
2009-08-07,499.00,511.45,498.25,509.75,32373500,357.937
2009-08-06,507.00,507.10,498.45,499.10,38251300,350.458
2009-08-05,509.65,515.944,500.797,504.10,35659600,353.969
2009-08-04,513.50,513.80,503.60,511.30,26595400,359.025
2009-08-03,501.30,514.80,495.20,511.50,44359900,359.165
2009-07-31,500.00,505.25,497.00,497.20,51329700,349.124
2009-07-30,510.80,513.336,207.238,506.20,52845500,355.444
2009-07-29,500.80,511.70,500.80,504.00,37985800,353.899
2009-07-28,519.75,523.70,496.98,503.00,47066700,353.197
2009-07-27,512.55,526.00,510.15,519.00,36106900,364.432
2009-07-24,509.95,518.50,507.75,510.90,33133500,358.744
2009-07-23,506.00,511.35,502.70,511.15,28800700,358.92
2009-07-22,504.35,506.95,499.65,505.45,24301400,354.917
2009-07-21,502.00,507.50,500.00,505.30,27320000,354.812
2009-07-20,498.00,506.45,492.40,503.20,29334300,353.337
